id,Community_Name,COMM_CODE,Year,Avg_Resident_Count,Total_Crime_Count,Sectors,Distinct_Longitudes,Distinct_Latitudes,crime_rate,ln_crime_rate,SHORTEST_DISTANCE_TO_LRT_METERS,SHORTEST_DISTANCE_TO_POLICE_METERS,age_75_plus_percentage,male_percentage,TotalPermits,calgary_cer_unemployment_rate,canada_unemployment_rate,calgary_cma_average_hourly_wage_rate,CLASS_CODE,COMM_NAME,property_assessment_median
1,ABBEYDALE,ABB,2018,5957,108,NORTHEAST,-113.9278039,51.05941501,1812.993117,7.502734414,3768.14209,4199.871582,2.2,51.35,25,0.076,0.0595,32.05,1,ABBEYDALE,304000
2,ACADIA,ACA,2018,10520,341,SOUTH,-114.053696,50.97241507,3241.444867,8.083774456,1568.291382,3086.125977,9.07,50.57,80,0.076,0.0595,32.05,1,ACADIA,404000
3,ALBERT PARK/RADISSON HEIGHTS,ALB,2018,6997,286,EAST,-113.9967779,51.04453295,4087.466057,8.315680511,389.9811707,2099.138428,3.71,51.91,69,0.076,0.0595,32.05,1,"""ALBERT PARK/RADISSON HEIGHTS""",314000
4,ALTADORE,ALT,2018,6942,173,CENTRE,-114.1007824,51.01595412,2492.077211,7.820871863,2836.883789,2916.125732,2.28,48.98,191,0.076,0.0595,32.05,1,ALTADORE,759750
5,APPLEWOOD PARK,APP,2018,6981,127,EAST,-113.9278103,51.04487483,1819.223607,7.506165099,4053.160889,4619.529785,2.9,50.81,6,0.076,0.0595,32.05,1,"""APPLEWOOD PARK""",359750
6,ARBOUR LAKE,ARB,2018,10619,275,NORTHWEST,-114.207675,51.13259471,2589.697712,7.859296434,1132.820679,9085.507813,8.37,48.77,68,0.076,0.0595,32.05,1,"""ARBOUR LAKE""",465500
7,ASPEN WOODS,ASP,2018,9446,126,WEST,-114.2078018,51.04518148,1333.897946,7.195860721,1643.640991,4024.091553,2.41,49.35,84,0.076,0.0595,32.05,1,"""ASPEN WOODS""",765750
8,AUBURN BAY,AUB,2018,17607,168,SOUTHEAST,-113.9578173,50.89270535,954.1659567,6.860837615,7785.311523,7251.579102,1.22,49.58,196,0.076,0.0595,32.05,1,"""AUBURN BAY""",461500
9,BONAVISTA DOWNS,BDO,2018,928,7,SOUTH,-114.0315055,50.94373043,754.3103448,6.625803881,2820.298584,4550.981445,4.97,52.76,4,0.076,0.0595,32.05,1,"""BONAVISTA DOWNS""",425250
10,BEDDINGTON HEIGHTS,BED,2018,11514,223,NORTH,-114.0849111,51.13164399,1936.772625,7.568778271,5936.874023,4046.490967,4.01,49.87,46,0.076,0.0595,32.05,1,"""BEDDINGTON HEIGHTS""",359500
