CENSUS_YEAR,COMM_CODE,DWELLING_CNT,RESIDENT_CNT,OCPD_DWELLING_CNT,VACANT_DWELLING_CNT,OCPD_OWNERSHIP_CNT,RENOVATION_DWELLING_CNT,UNDER_CONST_DWELLING_CNT,INACTIVE_CNT,OTHER_PURPOSE_CNT
2000,ST3,9,20,8,1,5,0,0,0,
2010,CIT,"3,479","10,219","3,426",41,"3,107",8,1,2,1
2013,COL,982,"2,243",941,32,704,6,2,1,0
2017,SVO,"2,512","6,906","2,327",59,"2,016",1,109,11,5
1998,HAY,"2,891","6,125","2,748",46,"2,724",0,0,,
1999,ING,"1,545","2,947","1,424",59,808,25,33,0,
2007,SET,0,0,0,0,0,0,0,0,0
2011,CHR,728,"2,180",708,17,661,3,0,0,0
2008,BUR,2,0,1,0,0,0,0,1,0
1998,ERL,275,551,260,12,185,0,0,,
1998,PIN,"3,433","10,353","3,383",50,"3,292",0,0,,
2002,MRL,"3,069","8,774","3,009",40,"2,200",2,0,15,3
2012,TUS,"6,492","19,013","6,396",78,"5,855",3,6,5,4
2012,GRE,501,945,477,19,438,1,0,4,0
2019,HSN,2,0,0,2,0,0,0,0,0
2018,SOW,"2,675","6,141","2,540",101,"1,395",21,0,11,2
2011,FRA,3,0,3,0,0,0,0,0,0
2003,ALT,"3,883","6,911","3,278",153,"2,125",10,394,23,25
2007,CRE,"3,586","6,118","3,398",40,"1,446",55,18,62,13
2003,DGN,0,0,0,0,0,0,0,0,0
2004,PIN,"3,741","9,862","3,593",143,"2,475",2,0,0,3
2003,EAU,996,"1,504",908,41,500,2,45,0,0
2004,X02,8,704,7,0,2,0,0,1,0
2018,HUN,"5,633","13,409","5,376",171,"3,185",26,1,50,9
2007,RIC,"2,106","3,920","1,894",62,"1,061",25,80,42,3
2011,COA,"1,480","3,194","1,417",59,"1,231",3,0,0,1
2019,DDG,"4,945","12,871","4,831",60,"4,167",12,25,4,13
1998,BYV,249,710,245,4,245,0,0,,
2012,UOC,927,"2,725",854,44,0,0,7,0,22
2001,GPI,3,2,2,1,2,0,0,0,0
2008,FAI,"1,598","3,609","1,539",34,"1,082",20,0,5,0
2002,BED,"4,240","12,790","4,188",41,"3,307",6,0,2,3
2006,FPK,0,0,0,0,0,0,0,0,0
2017,RIV,"3,456","9,338","3,395",51,"3,052",7,0,2,1
2008,GTI,1,0,1,0,0,0,0,0,0
2002,BDO,369,"1,044",368,1,332,0,0,0,0
2007,STA,716,"1,512",573,9,424,20,3,41,70
2009,EDG,"5,418","16,534","5,345",67,"4,812",5,0,0,1
2014,RDL,633,"1,579",582,22,462,6,19,1,3
2001,MAF,187,532,173,12,171,1,0,0,1
2015,WIN,"1,912","4,028","1,771",79,"1,027",6,28,26,2
2006,X02,7,897,7,0,3,0,0,0,0
1999,SUN,4,32,1,3,0,0,0,0,
2012,SPR,"2,344","4,283","2,122",140,922,17,33,19,13
2013,ESH,1,0,0,0,0,0,0,0,1
2012,HOU,"1,109","2,954","1,032",63,775,3,5,5,1
2000,ACA,"5,007","10,720","4,675",111,"2,940",201,9,4,
2007,MNI,3,0,0,0,0,0,0,3,0
2019,RAM,"1,135","2,150","1,042",49,552,14,3,15,12
2010,PAT,"2,009","4,154","1,923",74,"1,503",9,0,1,2
2009,POI,846,"1,324",821,23,646,2,0,0,0
2007,BOW,"5,211","11,173","5,005",86,"2,613",51,6,62,1
2000,GBK,"3,047","7,040","2,968",61,"1,648",2,2,10,
2006,PEN,"3,058","8,382","2,853",105,"1,938",19,0,81,0
2010,EPK,"1,219","3,443","1,133",41,"1,015",20,12,12,1
2013,BRT,309,753,291,8,239,1,9,0,0
2016,WLD,"1,062","2,579","1,012",28,895,15,2,4,1
2000,SPR,"1,436","3,190","1,317",66,453,48,0,1,
2018,EVN,"5,494","17,251","5,222",84,"4,721",2,163,2,21
2010,TUX,"2,664","4,539","2,330",213,986,17,54,30,20
2011,MRL,"3,120","8,310","2,966",100,"1,932",13,0,40,1
2004,WES,2,2,2,0,1,0,0,0,0
2017,COR,"1,565","5,792","1,525",38,"1,353",1,0,1,0
2014,NHU,246,636,242,3,225,1,0,0,0
2005,QLD,"1,872","5,184","1,830",40,"1,520",2,0,0,0
2000,STD,2,7,2,0,2,0,0,0,
2019,CNS,"1,285","2,648",751,13,708,1,520,0,0
1999,X13,3,9,3,0,2,0,0,0,
2004,UMR,"1,077","2,610","1,012",42,792,8,8,2,5
2003,GPI,2,0,1,1,1,0,0,0,0
2009,WBN,"3,370","9,557","3,316",38,"3,001",10,3,3,0
2012,RMT,563,"1,238",539,19,329,1,3,0,1
2012,COR,"1,508","5,865","1,483",21,"1,371",1,0,3,0
2005,MAL,"2,728","5,901","2,612",105,"1,531",6,0,4,1
2000,WOO,"2,399","7,054","2,368",28,"1,771",3,0,0,
2012,NAW,3,0,2,1,0,0,0,0,0
1998,BED,"4,214","13,065","4,177",32,"4,095",0,0,,
2006,COV,"4,560","12,601","4,320",31,"4,124",0,194,0,15
2017,ROC,"3,142","8,377","3,038",87,"2,535",3,12,2,0
2000,MPL,810,"2,180",805,5,776,0,0,0,
2004,SDC,"3,396","11,512","3,346",46,"3,117",1,0,0,3
2001,BRT,314,812,305,7,253,0,2,0,0
2010,AUB,"1,791","4,216","1,403",23,"1,280",0,340,0,25
2007,WOO,"2,405","6,370","2,351",30,"1,753",11,0,7,6
2017,SOM,"3,157","8,546","3,067",75,"2,357",10,0,4,1
2014,ASP,"2,657","7,493","2,385",59,"2,104",1,202,3,7
2015,ST4,3,0,1,0,0,0,0,0,2
2013,TEM,"3,672","11,046","3,548",73,"2,445",23,1,24,3
2001,BRA,"2,543","6,486","2,509",31,"1,972",0,0,2,1
2010,MCK,"4,647","14,189","4,554",89,"4,140",2,0,1,1
2018,TEM,"3,711","11,024","3,521",145,"2,524",12,0,27,6
2008,ROY,"3,641","9,910","3,446",95,"3,147",11,75,7,7
1999,HIL,"2,713","5,063","2,576",94,"1,024",6,23,0,
2006,EYA,778,"1,683",707,17,425,15,6,4,29
1999,WHI,"3,445","12,406","3,382",55,"2,731",3,0,5,
1998,BOW,"5,092","12,202","4,949",128,"4,227",0,11,,
2017,DNE,"2,363","3,480","1,624",355,442,6,345,3,30
2018,MEA,287,640,272,10,225,3,2,0,0
2018,CRE,"3,877","6,596","3,601",194,"1,306",11,22,16,33
2002,EDG,"5,392","17,644","5,318",43,"4,752",1,28,0,2
2003,PUM,562,"1,871",552,9,419,0,0,1,0
2007,STD,2,0,2,0,2,0,0,0,0
2009,OGD,"3,866","8,691","3,654",127,"2,247",6,3,73,3
2005,UOC,644,"2,121",626,16,0,0,0,0,2
2006,EVE,"5,116","11,475","4,163",19,"4,029",1,878,0,55
2016,SET,4,347,4,0,0,0,0,0,0
2001,CLI,"1,347","1,976","1,306",28,253,4,0,2,7
2005,X04,0,8,0,0,0,0,0,0,0
2011,X02,27,"1,151",19,1,13,0,0,2,5
2013,CHV,"1,467","2,618","1,417",44,899,5,0,0,1
2015,CHA,"4,160","12,992","4,093",25,"3,776",3,38,1,0
2019,FLI,62,123,57,4,47,0,0,0,1
2006,BNF,"1,780","3,639","1,625",62,690,2,11,75,5
2014,ERI,"2,469","7,146","2,403",47,"1,659",7,1,10,1
2007,WBN,"3,367","9,881","3,308",36,"3,028",20,0,3,0
1999,CON,"7,810","12,404","7,417",257,"1,315",68,30,3,
2011,MAC,"1,778","5,138","1,747",30,"1,541",0,0,1,0
2019,WND,"2,466","4,581","2,340",103,887,3,15,1,4
2018,ST2,7,14,2,5,0,0,0,0,0
2001,BRI,"1,484","3,806","1,321",55,"1,278",0,91,0,17
2008,RAM,"1,140","2,027","1,042",35,530,13,11,32,7
2016,ERI,"2,478","7,034","2,362",104,"1,700",3,1,5,3
2011,MIS,"3,239","4,361","3,054",148,"1,046",15,0,8,14
2006,ST3,9,13,6,2,3,0,0,0,1
2003,CHN,760,"1,246",739,19,123,0,0,0,2
2000,MPK,"2,966","9,181","2,884",32,"2,259",0,48,2,
1999,MCI,0,0,0,0,0,0,0,0,
2016,SOM,"3,153","8,596","3,061",87,"2,394",4,0,0,1
2002,X07,0,0,0,0,0,0,0,0,0
2008,SGH,72,74,24,0,14,0,48,0,0
2010,MAL,"2,780","5,804","2,614",131,"1,461",9,6,17,3
1999,BNK,"3,326","5,155","3,146",149,613,21,0,2,
2011,CFL,729,"1,984",707,19,495,0,0,2,1
2001,UOC,645,"2,272",631,14,0,0,0,0,0
2003,MNI,4,0,0,4,0,0,0,0,0
2006,MNI,3,0,0,3,0,0,0,0,0
2013,SHG,871,"1,520",720,55,306,0,6,83,7
2019,CPF,"5,012","13,822","4,902",46,"3,966",6,51,1,6
2003,DNE,688,"1,794",663,21,1,0,0,0,4
2019,MIS,"3,479","4,595","3,226",216,881,8,1,8,20
2010,SSW,165,354,150,10,139,3,0,2,0
2013,EDG,"5,422","15,972","5,331",60,"4,574",20,2,7,2
2017,RCK,"1,678","3,527","1,544",109,419,13,9,1,2
1998,CHN,799,"1,278",737,62,713,0,0,,
2006,DIS,"1,431","3,105","1,088",14,"1,041",1,325,0,3
2004,RIV,"3,462","10,488","3,443",15,"3,280",2,0,1,1
2015,COV,"5,556","17,546","5,490",45,"4,696",8,5,3,5
2005,NHV,961,"2,350",928,32,675,0,0,0,1
2001,DNW,"1,141",510,336,105,137,1,673,1,25
2002,OGD,"3,952","9,591","3,653",263,"2,379",0,2,33,1
2016,ALT,"3,145","6,676","2,848",200,"1,879",14,61,14,8
2005,EVE,"3,731","8,281","2,961",100,"2,857",0,601,1,68
1999,BRT,297,744,286,4,241,2,3,2,
1998,STD,4,9,4,0,2,0,0,,
2001,CIN,0,0,0,0,0,0,0,0,0
2009,CPF,"2,269","5,609","2,046",44,"1,830",0,159,0,20
2017,TUS,"6,582","19,659","6,455",84,"5,815",5,27,1,10
2001,BYV,249,691,242,5,242,1,1,0,0
2006,ALB,"2,639","6,221","2,495",74,872,3,0,62,5
2016,CIT,"3,488","10,509","3,452",33,"3,036",2,0,0,1
2011,RDL,638,"1,592",595,27,474,8,3,5,0
2015,CLI,"1,340","2,123","1,285",30,299,5,6,4,10
2004,CLI,"1,356","1,915","1,260",69,266,6,1,3,17
2019,VAL,"1,940","5,582","1,919",20,"1,742",1,0,0,0
2019,CAM,939,"2,035",869,33,531,8,12,12,5
2009,ROC,"2,768","6,882","2,651",70,"2,429",1,38,8,0
2019,ACA,"5,046","10,518","4,763",179,"2,577",18,0,75,11
2001,BNF,"1,678","3,496","1,596",76,791,0,0,5,1
2006,SOV,888,"2,098",839,28,478,1,1,15,4
2010,VAR,"5,502","12,129","5,328",135,"3,428",32,1,4,2
2014,WAL,951,"2,175",696,15,660,1,221,1,17
2005,UNI,"1,377","2,845","1,278",91,416,4,0,2,2
1998,DOV,"4,119","11,419","4,057",62,"3,751",0,0,,
2000,SSD,"2,319","3,729","2,219",56,621,4,36,2,
2002,MAL,"2,710","6,077","2,567",136,"1,484",1,0,4,2
2005,X03,37,90,25,1,13,1,10,0,0
2011,RSN,0,0,0,0,0,0,0,0,0
2004,AYB,17,25,11,5,5,0,0,1,0
2001,CFC,4,123,2,0,0,0,0,0,2
2000,CHK,587,"1,728",578,9,478,0,0,0,
2009,EFI,0,0,0,0,0,0,0,0,0
2009,RDL,637,"1,644",614,11,498,1,9,1,1
2017,SHG,862,"1,693",719,88,354,5,30,12,8
2007,BED,"4,310","11,997","4,197",49,"3,206",6,37,19,2
2011,COP,0,0,0,0,0,0,0,0,0
2019,ST3,0,0,0,0,0,0,0,0,0
2009,GPI,0,0,0,0,0,0,0,0,0
2015,HUN,"5,588","13,776","5,449",93,"3,256",19,3,20,4
1999,DNE,723,"1,293",696,27,3,0,0,0,
2004,POI,846,"1,339",813,32,659,0,0,0,1
2015,SHW,"1,409","4,198","1,249",24,"1,030",0,131,0,5
2014,SIL,"3,528","8,900","3,470",46,"2,885",11,1,0,0
2010,ST4,3,0,3,0,0,0,0,0,0
2010,BEL,159,480,151,1,147,6,1,0,0
2012,KCA,"1,548","4,875","1,508",19,"1,399",1,16,0,4
2015,X14,29,94,26,1,32,0,0,1,1
2001,FHI,1,1,1,0,1,0,0,0,0
2015,NHU,246,623,243,2,230,1,0,0,0
2018,HAM,"2,478","7,465","2,451",21,"2,303",3,0,0,3
2003,VAF,12,19,10,1,4,0,0,0,1
2003,X05,7,26,7,0,3,0,0,0,0
2010,RCK,"1,620","3,258","1,438",129,437,12,4,32,5
2007,RIV,"3,456","10,159","3,431",13,"3,234",4,0,7,1
2006,EPK,"1,210","3,471","1,132",23,"1,064",21,18,14,2
2006,DNE,891,"2,232",846,39,101,0,0,3,3
2012,MLR,"2,635","6,892","2,586",40,"2,058",6,2,1,0
1999,NAW,3,0,0,2,0,0,1,0,
2014,X08,0,31,0,0,49,0,0,0,0
2019,OSH,0,0,0,0,0,0,0,0,0
2002,LKB,"3,430","10,522","3,390",13,"3,249",26,0,0,1
