NAME,STATION_TY,ADDRESS,INFO,CREATED_DT,MODIFIED_DT,POINT
CPS TRAFFIC SECTION,District Office,6528 11 ST NE,(403)428-5500,2012/09/26,2019/01/03,POINT (-114.0361427 51.1120646)
DISTRICT 8 OFFICE (TRI-SERVICES),District Office,450 MIDPARK WY SE,(403)428-6800,2012/09/26,2015/07/23,POINT (-114.0594053 50.9067762)
DISTRICT 5 OFFICE,District Office,800 SADDLETOWNE CI NE,(403)428-6500,2012/09/26,2015/07/23,POINT (-113.9445035 51.1244639)
CHINOOK CENTRE MALL STATION,COPS Stn.,6455 MACLEOD TR S,(403)428-5810,2012/09/26,2015/07/23,POINT (-114.0719993 50.9976618)
DISTRICT 2 OFFICE,District Office,4506 17 AV SW,(403)428-6200,2012/09/26,2015/07/23,POINT (-114.1514266 51.0381119)
DISTRICT 1 OFFICE,District Office,1010 26 AV SE,(403)428-6100,2012/09/26,2015/07/23,POINT (-114.0388 51.0306095)
AIRPORT OFFICE,COPS Stn.,2000 AIRPORT RD NE,(403)735-1200,2012/09/26,2015/07/23,POINT (-114.0115204 51.1345585)
DISTRICT 3 OFFICE,District Office,4303 14 ST NW,(403)428-6300,2012/09/26,2015/07/23,POINT (-114.0949898 51.0917198)
DISTRICT 4 OFFICE,District Office,3207 12 AV NE,(403)428-6400,2012/09/26,2015/07/23,POINT (-113.9877144 51.0625289)
WESTWINDS CAMPUS,Headquarter,5111 47 ST NE,(403)428-2200,2012/09/26,2015/07/23,POINT (-113.9728807 51.0999499)
DISTRICT 6 OFFICE,District Office,8325 BONAVENTURE DR SE,(403)428-6600,2012/09/26,2015/07/23,POINT (-114.0685625 50.9785278)
DISTRICT 7 OFFICE (TRI-SERVICES),District Office,11955 COUNTRY VILLAGE LI NE,(403)428-6700,2012/09/26,2015/07/23,POINT (-114.0679714 51.1594285)
